StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
GroupOneStrategy,2019-Oct-10 13:37:59.964000,2019-Oct-10 13:37:59.964000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.225000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937577,,
GroupOneStrategy,2019-Oct-10 13:39:31.509000,2019-Oct-10 13:39:31.509000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.140000,0.176314,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937578,,
GroupOneStrategy,2019-Oct-10 13:40:14.265000,2019-Oct-10 13:40:14.265000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.155000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937579,,
GroupOneStrategy,2019-Oct-10 13:40:41.733000,2019-Oct-10 13:40:41.733000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.155000,0.176347,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937580,,
GroupOneStrategy,2019-Oct-10 13:41:22.977000,2019-Oct-10 13:41:22.977000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.155000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937581,,
GroupOneStrategy,2019-Oct-10 13:42:09.411000,2019-Oct-10 13:42:09.411000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.155000,0.176347,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937582,,
GroupOneStrategy,2019-Oct-10 13:43:02.321000,2019-Oct-10 13:43:02.321000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.170000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937583,,
GroupOneStrategy,2019-Oct-10 13:43:12.454000,2019-Oct-10 13:43:12.454000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.170000,0.176381,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937584,,
GroupOneStrategy,2019-Oct-10 13:47:25.920000,2019-Oct-10 13:47:25.920000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.150000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937585,,
GroupOneStrategy,2019-Oct-10 13:48:11.610000,2019-Oct-10 13:48:11.610000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.170000,0.176381,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937586,,
GroupOneStrategy,2019-Oct-10 13:50:08.782000,2019-Oct-10 13:50:08.782000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.060000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937587,,
GroupOneStrategy,2019-Oct-10 13:50:10.176000,2019-Oct-10 13:50:10.176000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.060000,0.176134,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937588,,
GroupOneStrategy,2019-Oct-10 13:50:10.205000,2019-Oct-10 13:50:10.205000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,25.060000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937589,,
GroupOneStrategy,2019-Oct-10 13:50:11.909000,2019-Oct-10 13:50:11.909000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.060000,0.176134,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937590,,
GroupOneStrategy,2019-Oct-10 13:50:24.795000,2019-Oct-10 13:50:24.795000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.955000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937591,,
GroupOneStrategy,2019-Oct-10 13:50:34.553000,2019-Oct-10 13:50:34.553000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,25.000000,0.176000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937592,,
GroupOneStrategy,2019-Oct-10 13:50:45.943000,2019-Oct-10 13:50:45.943000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.970000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361434382937593,,
