Name,Time,Cumulative PnL
GroupOneStrategy,2019-Oct-10 13:30:25.389000,0.000000
GroupOneStrategy,2019-Oct-10 13:31:34.467000,0.000000
GroupOneStrategy,2019-Oct-10 13:32:45.833000,0.000000
GroupOneStrategy,2019-Oct-10 13:33:57.487000,0.000000
GroupOneStrategy,2019-Oct-10 13:35:00.293000,0.000000
GroupOneStrategy,2019-Oct-10 13:36:16.434000,0.000000
GroupOneStrategy,2019-Oct-10 13:37:44.139000,0.000000
GroupOneStrategy,2019-Oct-10 13:38:52.564000,0.000000
GroupOneStrategy,2019-Oct-10 13:40:06.764000,0.000000
GroupOneStrategy,2019-Oct-10 13:41:22.977000,0.000000
GroupOneStrategy,2019-Oct-10 13:42:28.974000,0.000000
GroupOneStrategy,2019-Oct-10 13:43:49.107000,0.000000
GroupOneStrategy,2019-Oct-10 13:44:50.553000,0.000000
GroupOneStrategy,2019-Oct-10 13:45:51.114000,0.000000
GroupOneStrategy,2019-Oct-10 13:46:55.227000,0.000000
GroupOneStrategy,2019-Oct-10 13:48:00.254000,0.000000
GroupOneStrategy,2019-Oct-10 13:49:05.513000,0.000000
GroupOneStrategy,2019-Oct-10 13:50:11.909000,0.000000
GroupOneStrategy,2019-Oct-10 13:51:12.945000,0.000000
GroupOneStrategy,2019-Oct-10 13:52:17.866000,0.000000
GroupOneStrategy,2019-Oct-10 13:53:21.733000,0.000000
GroupOneStrategy,2019-Oct-10 13:54:33.169000,0.000000
GroupOneStrategy,2019-Oct-10 13:55:34.931000,0.000000
GroupOneStrategy,2019-Oct-10 13:56:45.373000,0.000000
GroupOneStrategy,2019-Oct-10 13:57:52.436000,0.000000
GroupOneStrategy,2019-Oct-10 13:58:56.914000,0.000000
GroupOneStrategy,2019-Oct-10 14:00:06.632000,0.000000
GroupOneStrategy,2019-Oct-10 14:01:12.984000,0.000000
GroupOneStrategy,2019-Oct-10 14:02:19.515000,0.000000
GroupOneStrategy,2019-Oct-10 14:03:30.926000,0.000000
GroupOneStrategy,2019-Oct-10 14:04:38.716000,0.000000
GroupOneStrategy,2019-Oct-10 14:05:45.303000,0.000000
GroupOneStrategy,2019-Oct-10 14:07:03.179000,0.000000
GroupOneStrategy,2019-Oct-10 14:08:09.103000,0.000000
GroupOneStrategy,2019-Oct-10 14:09:27.817000,0.000000
GroupOneStrategy,2019-Oct-10 14:10:39.177000,0.000000
GroupOneStrategy,2019-Oct-10 14:11:54.413000,0.000000
GroupOneStrategy,2019-Oct-10 14:13:21.518000,0.000000
GroupOneStrategy,2019-Oct-10 14:14:31.595000,0.000000
GroupOneStrategy,2019-Oct-10 14:15:48.154000,0.000000
GroupOneStrategy,2019-Oct-10 14:16:55.813000,0.000000
GroupOneStrategy,2019-Oct-10 14:18:17.449000,0.000000
GroupOneStrategy,2019-Oct-10 14:19:18.112000,0.000000
GroupOneStrategy,2019-Oct-10 14:20:51.814000,0.000000
GroupOneStrategy,2019-Oct-10 14:22:15.729000,0.000000
GroupOneStrategy,2019-Oct-10 14:23:37.219000,0.000000
GroupOneStrategy,2019-Oct-10 14:24:45.881000,0.000000
GroupOneStrategy,2019-Oct-10 14:25:57.914000,0.000000
GroupOneStrategy,2019-Oct-10 14:27:18.239000,0.000000
GroupOneStrategy,2019-Oct-10 14:28:35.680000,0.000000
GroupOneStrategy,2019-Oct-10 14:29:45.358000,0.000000
GroupOneStrategy,2019-Oct-10 14:31:02.523000,0.000000
GroupOneStrategy,2019-Oct-10 14:32:06.126000,0.000000
GroupOneStrategy,2019-Oct-10 14:33:23.654000,0.000000
GroupOneStrategy,2019-Oct-10 14:34:41.303000,0.000000
GroupOneStrategy,2019-Oct-10 14:35:50.320000,0.000000
GroupOneStrategy,2019-Oct-10 14:36:58.443000,0.000000
GroupOneStrategy,2019-Oct-10 14:38:08.383000,0.000000
GroupOneStrategy,2019-Oct-10 14:39:18.677000,0.000000
GroupOneStrategy,2019-Oct-10 14:40:29.756000,0.000000
GroupOneStrategy,2019-Oct-10 14:41:44.149000,0.000000
GroupOneStrategy,2019-Oct-10 14:42:48.844000,0.000000
GroupOneStrategy,2019-Oct-10 14:44:04.795000,0.000000
GroupOneStrategy,2019-Oct-10 14:45:22.810000,0.000000
GroupOneStrategy,2019-Oct-10 14:46:26.400000,0.000000
GroupOneStrategy,2019-Oct-10 14:47:35.340000,0.000000
GroupOneStrategy,2019-Oct-10 14:48:38.941000,0.000000
GroupOneStrategy,2019-Oct-10 14:49:51.484000,0.000000
GroupOneStrategy,2019-Oct-10 14:51:04.288000,0.000000
GroupOneStrategy,2019-Oct-10 14:52:11.817000,0.000000
GroupOneStrategy,2019-Oct-10 14:53:12.741000,0.000000
GroupOneStrategy,2019-Oct-10 14:54:21.235000,0.000000
GroupOneStrategy,2019-Oct-10 14:55:33.396000,0.000000
GroupOneStrategy,2019-Oct-10 14:56:45.597000,0.000000
GroupOneStrategy,2019-Oct-10 14:58:03.414000,0.000000
GroupOneStrategy,2019-Oct-10 14:59:10.364000,0.000000
GroupOneStrategy,2019-Oct-10 15:00:16.919000,0.000000
GroupOneStrategy,2019-Oct-10 15:01:21.574000,0.000000
GroupOneStrategy,2019-Oct-10 15:02:32.665000,0.000000
GroupOneStrategy,2019-Oct-10 15:03:37.860000,0.000000
GroupOneStrategy,2019-Oct-10 15:04:39.216000,0.000000
GroupOneStrategy,2019-Oct-10 15:05:58.948000,0.000000
GroupOneStrategy,2019-Oct-10 15:07:08.959000,0.000000
GroupOneStrategy,2019-Oct-10 15:08:13.731000,0.000000
GroupOneStrategy,2019-Oct-10 15:09:13.928000,0.000000
GroupOneStrategy,2019-Oct-10 15:10:30.488000,0.000000
GroupOneStrategy,2019-Oct-10 15:11:51.395000,0.000000
GroupOneStrategy,2019-Oct-10 15:13:04.821000,0.000000
GroupOneStrategy,2019-Oct-10 15:14:13.478000,0.000000
GroupOneStrategy,2019-Oct-10 15:15:31.516000,0.000000
